Title,Price,Location,Size,Bedroom
Maytower KL City,RM 1 500 per month,KL City,493 sq.ft.,1 Bedroom
"Furnished Impiana Sky Residency , Bukit Jalil Pavilion",RM 1 600 per month,Bukit Jalil,850 sq.ft.,3 Bedrooms
"Apartment Cendana , Bandar Sri Permaisuri Cheras KL - dekat HUKM",RM 1 000 per month,Cheras,650 sq.ft.,2 Bedrooms
"Maxim Majestic READY TO MOVE IN NEAR MRT TAMAN CONNAUGHT,UCSI",RM 1 350 per month,Cheras,819 sq.ft.,3 Bedrooms
Majestic Maxim 2 Rooms In Taman Connaught Cheras For Rent,RM 1 400 per month,Cheras,650 sq.ft.,2 Bedrooms
"1st Floor, Winner Heights Condominium, Desa Petaling, Height",RM 950 per month,Desa Petaling,830 sq.ft.,3 Bedrooms
Flat Sentul Utama Untuk Disewa,RM 900 per month,Sentul,678 sq.ft.,3 Bedrooms
Casa Green Bukit Jalil | 4R2B | Fully Furnish,RM 1 900 per month,Bukit Jalil,930 sq.ft.,4 Bedrooms
Bukit Jalil Jalilmas Residence,RM 1 100 per month,Bukit Jalil,800 sq.ft.,3 Bedrooms
Sentul Point|Fully Furnished Unit|KLCC View|2R2B|Rent|Move in ASAP,RM 1 900 per month,Sentul,743 sq.ft.,2 Bedrooms
Seri Puteri Condo Taman Ikan Emas Cheras KL,RM 1 500 per month,Cheras,1010 sq.ft.,3 Bedrooms
For Rent - Prisma Cheras Taman Midah,RM 1 800 per month,Cheras,1072 sq.ft.,2 Bedrooms
Zero Deposit Fully Furnished Condo Dato Keramat Chymes Gurney KLCC,RM 1 900 per month,Keramat,700 sq.ft.,2 Bedrooms
Idaman Residence KLCC Kuala Lumpur,RM 3 500 per month,KLCC,929 sq.ft.,2 Bedrooms
Verve Suites Mont Kiara for Rent,RM 2 800 per month,Sri Hartamas,861 sq.ft.,2 Bedrooms
PPA1M Bukit Jalil | Fully Furnish | 4R2B | Middle Flr | Walking To LRT,RM 1 650 per month,Bukit Jalil,1450 sq.ft.,4 Bedrooms
Teratai mewah Apartment Setapak Below Market Price,RM 900 per month,Setapak,700 sq.ft.,3 Bedrooms
Zen suites @ zetapark,RM 1 600 per month,Setapak,618 sq.ft.,1 Bedroom
Fully Furnished Room &FREE WIFI @ Mont Kiara,RM 2 200 per month,Mont Kiara,1016 sq.ft.,1 Bedroom
Apartment Bukit Jalil keluasan 1434 sqft 4R2B Walking distance to LRT,RM 1 800 per month,Bukit Jalil,1434 sq.ft.,4 Bedrooms
Flat PKNS AU3 2room 1bath di Keramat KL neaby Aeon Mall AU,RM 750 per month,Keramat,600 sq.ft.,2 Bedrooms
For Rent Fully Furnished Residensi Rampai,RM 1 800 per month,Setapak,850 sq.ft.,3 Bedrooms
Prisma Cheras one bedroom MRT,RM 1 000 per month,Cheras,717 sq.ft.,1 Bedroom
"PV18 residence near MC Donald , StarbucK and TARUMT",RM 1 700 per month,Setapak,1300 sq.ft.,3 Bedrooms
Prisma Cheras one bedroom unit,RM 1 200 per month,Cheras,717 sq.ft.,1 Bedroom
[2 Car Park/Full Grille] Platinum Teratai Residensi Prima Setapak,RM 1 499 per month,Setapak,928 sq.ft.,3 Bedrooms
Apartment Melur Sentul Berhadapan LRT,RM 1 400 per month,Sentul,1000 sq.ft.,3 Bedrooms
Apartment Melur Sentul Berhadapan LRT,RM 1 400 per month,Sentul,1000 sq.ft.,3 Bedrooms
Camellia Serviced Suites Bangsar South for rental,RM 2 400 per month,Bangsar South,638 sq.ft.,1 Bedroom
Pantai Hillpark phase 5 bangsar south,RM 2 300 per month,Bangsar South,1100 sq.ft.,3 Bedrooms
PV9 residence near TARUMT & Putra LRT Station Taman Melati,RM 1 700 per month,Setapak,1050 sq.ft.,3 Bedrooms
"ZERO DEPOSIT - Ooak, Mont Kiara Perabot dan Fasiliti Lengkap",RM 1 300 per month,Mont Kiara,600 sq.ft.,1 Bedroom
"[2 Car Park/Full Grille] Sky Awani Sentul Perdana, Kg Batu Muda",RM 1 100 per month,Sentul,800 sq.ft.,3 Bedrooms
Flat PKNS AU3 2room 1bath di Keramat KL neaby Aeon Mall AU,RM 750 per month,Ampang,600 sq.ft.,2 Bedrooms
(RENO KITCHEN) Cendana Apartment Bandar Sri Permaisuri HUKM Near LRT,RM 950 per month,Cheras,650 sq.ft.,3 Bedrooms
Nusa Mewah Villa Condo (FULLY FURNISHED 2 CAR PARKs) Taman Muda Ampang,RM 1 600 per month,Cheras,865 sq.ft.,3 Bedrooms
Residency V Old Klang Road Pearl Point (FULLY FURNISH) Kuchai Lama OUG,RM 2 400 per month,Old Klang Road,909 sq.ft.,3 Bedrooms
RUMAH CANTIK Villa Pawana Condominium Keramat KL near LRT Dato Keramat,RM 2 000 per month,Keramat,1280 sq.ft.,3 Bedrooms
Impiana Sky Residensi @ Bukit Jalil [Best-Unit] [Well-Kept],RM 1 100 per month,Bukit Jalil,850 sq.ft.,3 Bedrooms
Pavilion hilltop FULLY FURNISH mont kiara Publika dutamas KL,RM 4 399 per month,Mont Kiara,1200 sq.ft.,3 Bedrooms
"The Orion Condo, next to IJN, near MRT2 Station, Jalan Tun Razak KLCC",RM 3 000 per month,City Centre,1323 sq.ft.,3 Bedrooms
Viva Residency Fully Furnished Walking Distance MRT Jln Ipoh,RM 1 800 per month,Jalan Ipoh,840 sq.ft.,2 Bedrooms
Residensi Pandan Mas 2 Condo Fully Furnished Kg Pandan,RM 1 800 per month,Desa Pandan,950 sq.ft.,3 Bedrooms
[Must View] Z Residence Condo near LRT and Pavillion Bukit Jalil,RM 1 500 per month,Bukit Jalil,1236 sq.ft.,3 Bedrooms
FULLY FURNISHED PPAM @ Bukit Jalil,RM 1 800 per month,Bukit Jalil,1434 sq.ft.,4 Bedrooms
Mh Platinum Setapak Gombak Below Market Price,RM 1 600 per month,Setapak,700 sq.ft.,2 Bedrooms
Seri Mas Condo Cheras Bandar Sri Permaisuri,RM 1 300 per month,Cheras,860 sq.ft.,3 Bedrooms
FULLY FURNISHED Residensi Platinum Teratai for Rent,RM 2 000 per month,Setapak,928 sq.ft.,3 Bedrooms
Vista Komanwel C Condo Bukit Jalil 6R3B Fully IMU APU Sri Petaling LRT,RM 1 900 per month,Bukit Jalil,1400 sq.ft.,6 Bedrooms
PPA1M Condo Bukit JaliI Sri Petaling (1434sf 4 Room FULLY FURNISH),RM 1 800 per month,Bukit Jalil,1434 sq.ft.,4 Bedrooms
"PV9, Setapak. Beside TARUC, Walking Dist. to Tmn Melati LRT. BEST DEAL",RM 1 800 per month,Setapak,1000 sq.ft.,3 Bedrooms
"PV2 Large Unit, Setapak w Aconds, 2CP, Kitchen Cabinet.Best Deal! PV 2",RM 1 900 per month,Setapak,1500 sq.ft.,3 Bedrooms
Berlian Residence @ Setapak. Best Deal! Hurry! Don't miss it.,RM 1 500 per month,Setapak,900 sq.ft.,3 Bedrooms
Berlian Setapak Residence. Best Deal! Hurry! Don't miss it.,RM 1 300 per month,Setapak,900 sq.ft.,2 Bedrooms
"Bangsar Puteri, Bangsar, Fully-Furnished. Hurry! Don't miss it!",RM 2 500 per month,Bangsar,1100 sq.ft.,2 Bedrooms
"Villa U-Thant, Ampang Hilir. BEST DEAL! Hurry! Don't miss it",RM 2 900 per month,Ampang,2500 sq.ft.,4 Bedrooms
PV15 Studio @ Setapak. Free Water & Elec Charges. Best Deal!,RM 750 per month,Setapak,350 sq.ft.,1 Bedroom
Residensi Suria Pantai,RM 1 500 per month,Pantai,810 sq.ft.,3 Bedrooms
"Setapak Green condo, Setapak, Kuala Lumpur",RM 1 850 per month,Setapak,1588 sq.ft.,3 Bedrooms
M Centura Residence Sentul Kuala Lumpur,RM 1 600 per month,Sentul,850 sq.ft.,3 Bedrooms
"Fully Furnished, Sentul Point for Rent",RM 2 400 per month,Sentul,1000 sq.ft.,3 Bedrooms
D'Alamanda Condo Walking Distance MRT Maluri Station 2 Bedroom + 1Bath,RM 1 400 per month,Cheras,695 sq.ft.,2 Bedrooms
Vista Langkawi (PV18) @ Setapak ( Actual Picture ),RM 1 500 per month,Setapak,927 sq.ft.,3 Bedrooms
"TR Residence F/Furnished Jalan Pahang, Titiwangsa, ID Design 2 Bedroom",RM 2 500 per month,Titiwangsa,710 sq.ft.,2 Bedrooms
"Platinum OUG, Bukit OUG, LRT Muhibbah (1200sf FULLY FURNISH)",RM 1 800 per month,Kuchai Lama,1200 sq.ft.,3 Bedrooms
"Condominium Casa Idaman, Kg Batu Muda, KL",RM 1 500 per month,Jalan Ipoh,1047 sq.ft.,3 Bedrooms
Angkasa Condo Taman Connaught Cheras 3R2B1C Fully UCSI (Cheapest),RM 1 500 per month,Cheras,1000 sq.ft.,3 Bedrooms
Pangsapuri Tulin Jalan Klang Lama Partially Furnished,RM 1 000 per month,Old Klang Road,800 sq.ft.,3 Bedrooms
[CHEAP!!! STUDIO UNIT] Fully Furnished Pertama Residency in Cheras,RM 1 400 per month,Cheras,700 sq.ft.,1 Bedroom
FULLY FURNISHED Centrio Pantai Hillpark,RM 2 350 per month,Pantai,870 sq.ft.,1 Bedroom
Platinum OUG Residence Condo Bukit Jalil Near LRT Fully FUrnished,RM 1 700 per month,Kuchai Lama,1200 sq.ft.,3 Bedrooms
[FULLY FURNISHED BALINESE STYLE] Sri Putramas1 Jalan Kuching,RM 1 900 per month,Jalan Kuching,1150 sq.ft.,3 Bedrooms
Majestic Maxim Cheras New Condo MRT Taman Connaught Len Seng Sentral,RM 1 399 per month,Cheras,650 sq.ft.,2 Bedrooms
Midah Ria Condo Taman Midah Cheras Hukm,RM 1 350 per month,Cheras,962 sq.ft.,3 Bedrooms
Seri Mas Condo Tmn Tenaga Cheras Near Tasik Permaisuri Half Furnished,RM 1 300 per month,Cheras,865 sq.ft.,3 Bedrooms
"Faber Heights Condo Taman Desa, 2 Car Parks, Very Nice Fully Furnished",RM 1 999 per month,Taman Desa,1200 sq.ft.,3 Bedrooms
"38 Bidara Condo, Bukit Bintang (Next to Pavilion)",RM 2 100 per month,KLCC,706 sq.ft.,2 Bedrooms
Perdana Villa Duplex Apartment With Half Furnished,RM 1 200 per month,Cheras,860 sq.ft.,3 Bedrooms
The Fennel Sentul Condo,RM 2 600 per month,Sentul,1237 sq.ft.,3 Bedrooms
"Mentari Condo, 3r2b Nice Fully Furnished, Near HUKM, Permaisuri Cheras",RM 1 700 per month,Cheras,1025 sq.ft.,3 Bedrooms
"Laman Tasik Condo 4 Rooms for Rent, Cheras",RM 2 000 per month,Cheras,1280 sq.ft.,4 Bedrooms
BRAND NEW Majestic Maxim FEW UNITS AVAILABLE - Ready to Move In,RM 1 200 per month,Cheras,670 sq.ft.,2 Bedrooms
Old Klang Road Bangsar Taman Desa Bukit Jalil Kuchai Lama Midvalley,RM 1 600 per month,Seputeh,505 sq.ft.,1 Bedroom
Trinity Aquata Sungai Besi Kuchai Lama Taman Desa Sri Petaling,RM 1 900 per month,Sungai Besi,839 sq.ft.,3 Bedrooms
Vista Amani Condo Suasana Lumayan Bandar Sri Permaisuri Astana Cheras,RM 1 500 per month,Cheras,1101 sq.ft.,4 Bedrooms
NEGOTIABLE Vista Amani Condo Mentari Bandar Sri Permaisuri Cheras,RM 1 500 per month,Cheras,1101 sq.ft.,4 Bedrooms
Royal Regent Sri Putramas 3 Iii Condo Apartment Dutamas Publika Kl Cit,RM 2 000 per month,Jalan Kuching,1590 sq.ft.,3 Bedrooms
Desa Green Taman Desa Kuala Lumpur Cheras near Mid Valley Kuchai Lama,RM 1 700 per month,Taman Desa,935 sq.ft.,3 Bedrooms
Ativo Suites Bandar Sri Damansara (RENOVATED F/F MID FLOOR POOL VIEW),RM 2 600 per month,Sri Damansara,607 sq.ft.,1 Bedroom
Ohako Puchong Jaya 3R2B2CP F/F Koi Kinrara Sunway Subang Jaya Taylor,RM 2 300 per month,Puchong,1002 sq.ft.,3 Bedrooms
Endah Regal Condo for rent,RM 1 500 per month,Sri Petaling,1141 sq.ft.,3 Bedrooms
Sentul Village (Fully renovated),RM 1 650 per month,Sentul,948 sq.ft.,2 Bedrooms
New Fully Furnished Tiara Ampang Condo next to M City and Ampang Point,RM 2 000 per month,Ampang,1118 sq.ft.,3 Bedrooms
Marc Residence Studio KLCC,RM 2 300 per month,KLCC,500 sq.ft.,1 Bedroom
TAMAN MELATI ground floor 2r1b flat_near LRT 5min_avai feb_wangsaMAJU,RM 1 000 per month,Setapak,500 sq.ft.,2 Bedrooms
"Cheras Taman Kobena, Pudu Impian 1 Apartment With Security (Renovated)",RM 910 per month,Cheras,667 sq.ft.,3 Bedrooms
Desa Green Taman Desa Kuchai lama Cheras Old Klang Road Bangsar,RM 1 750 per month,Taman Desa,715 sq.ft.,2 Bedrooms
Central Residence Sungai Besi Old Klang Road Kuchai Lama Taman Desa,RM 1 800 per month,Sungai Besi,1090 sq.ft.,3 Bedrooms
Central Residence Sungai Besi Old Klang Road Kuchai Lama Taman Desa,RM 1 800 per month,Sungai Besi,1090 sq.ft.,3 Bedrooms
Southbank Kuchai Lama Midvalley bangsar Taman desa Sunway,RM 2 000 per month,Old Klang Road,785 sq.ft.,2 Bedrooms
28 BLVD Boulevard Cheras Studio Pandan Perdana MRT LRT Maluri Jaya KL,RM 1 699 per month,Pandan Perdana,450 sq.ft.,1 Bedroom
Clean and New Unit @ Residensi KepongMAs,RM 1 100 per month,Kepong,800 sq.ft.,3 Bedrooms
Bandar Sri Damansara Foresta Condo Fully Furnished Penthouse Kl,RM 4 000 per month,Sri Damansara,3150 sq.ft.,4 Bedrooms
Bandar Sri Damansara Foresta Condo Quality Fully Furnished ,RM 2 600 per month,Sri Damansara,1610 sq.ft.,3 Bedrooms
DC Residensi @ Damansara Height Fully Furnished with Large Balcony,RM 5 800 per month,Damansara Heights,1152 sq.ft.,2 Bedrooms
Novum Bangsar South (Fully furnished) ((1376 sq ft)),RM 4 876 per month,Bangsar South,1375 sq.ft.,3 Bedrooms
Residensi harmoni 2 (RENO) Segambut,RM 2 888 per month,Segambut,1500 sq.ft.,3 Bedrooms
Kiara 9 Residency duplex,RM 7 500 per month,Mont Kiara,2960 sq.ft.,3 Bedrooms
Splendor Semarak KLCC Keramat 3R2B Partly Furnish KLCC View MINDEF UTC,RM 1 600 per month,Keramat,926 sq.ft.,3 Bedrooms
PPA1M Bukit Jalil Fully Furnished Walking distance to LRT,RM 1 700 per month,Bukit Jalil,1434 sq.ft.,4 Bedrooms
Scott Garden Old Klang Nearw Mid Valley Bangsar South Cheapest,RM 1 300 per month,Old Klang Road,775 sq.ft.,1 Bedroom
Residensi Jalilmas Bukit Jalil LRT Awan Besar near Pavillion 2,RM 1 200 per month,Bukit Jalil,800 sq.ft.,3 Bedrooms
Majestic Maxim Condo Taman Connaught Cheras New Condo,RM 1 600 per month,Cheras,670 sq.ft.,2 Bedrooms
Residency V Old Klang Road OKR OUG Mid Valley Kuala Lumpur,RM 2 200 per month,Old Klang Road,909 sq.ft.,3 Bedrooms
PPR Seri Malaysia Desa Petaling Cheapest,RM 1 000 per month,Desa Petaling,650 sq.ft.,3 Bedrooms
KEP Apartment Kuchai Entrepreneurs Park Kuchai Lama MRT,RM 1 500 per month,Kuchai Lama,932 sq.ft.,3 Bedrooms
Winner Court A Condo Desa Petaling Near Kuchai Lama Cheapest,RM 1 000 per month,Desa Petaling,765 sq.ft.,3 Bedrooms
"Verve Suite, Sri Hartamas, near Mont Kiara 2R2B Premium Furnished",RM 2 798 per month,Sri Hartamas,900 sq.ft.,2 Bedrooms
Regalia Condo Jalan Sultan Ismail Kuala Lumpur Cheapest,RM 1 600 per month,Jalan Sultan Ismail,600 sq.ft.,1 Bedroom
Splendor Semarak 4R2B Partly Furnish Kitchen Cab Aircond Prefer Female,RM 1 900 per month,Keramat,1065 sq.ft.,4 Bedrooms
Splendor Semarak KLCC Keramat AZRB Megan Avenue Plaza OSK Menara HLX,RM 1 799 per month,Keramat,1065 sq.ft.,3 Bedrooms
Wangsa Maju Flat Seksyen 1 For Rent,RM 950 per month,Wangsa Maju,700 sq.ft.,2 Bedrooms
Three28 Tun Razak Kuala Lumpur 2R2B F/F KLCC Hamsphire Intermark,RM 3 400 per month,KLCC,1055 sq.ft.,2 Bedrooms
"Ascenda Residence [ Actual Unit, 2 Parking ] Ready Move In",RM 1 800 per month,Setapak,1200 sq.ft.,3 Bedrooms
Ketumbar Height Taman Cheras Yulek Near Leisure mall Ekocheras Cheaper,RM 1 400 per month,Cheras,755 sq.ft.,3 Bedrooms
Platinum Old Klang Road Bukit jalil Taman Desa Kuchai Lama Midvalley,RM 1 500 per month,Kuchai Lama,850 sq.ft.,3 Bedrooms
Old Klang Road Bangsar Taman Desa Sunway Kuchai Lama Midvalley Pj,RM 1 700 per month,Old Klang Road,872 sq.ft.,1 Bedroom
Desa Green Taman Desa Kuala Lumpur Cheras Old Klang Road Bangsar,RM 1 400 per month,Taman Desa,715 sq.ft.,3 Bedrooms
Old Klang Road Bangsar Taman Desa Sunway Kuchai Lama Midvalley Pj,RM 1 300 per month,Old Klang Road,775 sq.ft.,1 Bedroom
Platinum OUG Kuchai Lama,RM 1 300 per month,Kuchai Lama,850 sq.ft.,3 Bedrooms
The Hamstead Condo Desa Tun Razak KL KLCC view,RM 1 700 per month,Cheras,950 sq.ft.,3 Bedrooms
Desa Green Taman Desa Cheras Old Klang Road Bangsar kuchai puhu,RM 1 700 per month,Taman Desa,935 sq.ft.,3 Bedrooms
"Iris Apartment, Old Klang Road, Taman Desa",RM 850 per month,Taman Desa,600 sq.ft.,2 Bedrooms
"Casa Idaman, Jalan Ipoh nx to MRT Sentul Balcony facing KLCC view",RM 1 500 per month,Jalan Ipoh,1050 sq.ft.,3 Bedrooms
"Aston Kiara 3, [FULLY FURNISH+GOOD DEAL], Jalan Kiara 3, Mont Kiara",RM 2 400 per month,Mont Kiara,1518 sq.ft.,3 Bedrooms
Mentari Condo For Rent @ Cheras,RM 1 700 per month,Cheras,1025 sq.ft.,3 Bedrooms
"Megan Embassy F/Furnished Jalan Ampang, Ampang Hilir, Holiday Inn",RM 1 700 per month,Ampang Hilir,900 sq.ft.,2 Bedrooms
Apartmen PPAM Bukit Jalil untuk disewa,RM 1 600 per month,Bukit Jalil,1000 sq.ft.,3 Bedrooms
Royal Domain Sri Putramas 2 Fully &Partly Few Unit Available,RM 1 800 per month,Jalan Kuching,1400 sq.ft.,3 Bedrooms
Furnished Residensi Kepongmas Kepong Selayang Kuala Lumpur,RM 1 200 per month,Kepong,800 sq.ft.,3 Bedrooms
Renovated Flat Pandan Perdana 3/2 Cheras Selangor For Sale,RM 950 per month,Ampang,505 sq.ft.,2 Bedrooms
Auora Revo,RM 1 400 per month,Bukit Jalil,384 sq.ft.,1 Bedroom
"Waldorf, Sri Hartamas, near to Mont Kiara, Solaris Publika Furnished",RM 2 800 per month,Sri Hartamas,1150 sq.ft.,2 Bedrooms
Residensi Razak Mas Cheras For Rent,RM 1 200 per month,Cheras,805 sq.ft.,3 Bedrooms
"Laman Duta, Solaris Dutamas, 🔥Fully Furnished🔥",RM 6 500 per month,Solaris Dutamas,1300 sq.ft.,3 Bedrooms
Gembira Residence 3 rooms fully furnish Happy Garden Kuchai Lama,RM 2 800 per month,Kuchai Lama,1168 sq.ft.,3 Bedrooms
Mont Kiara Astana Fully Furnish For Rent,RM 3 600 per month,Mont Kiara,1408 sq.ft.,3 Bedrooms
Angkasa Condo Taman Connaught Cheras Walking Distance To UCSI,RM 1 300 per month,Cheras,920 sq.ft.,3 Bedrooms
"Oug Parklane Condo Old Klang Road Partly, Fully Furnished",RM 1 300 per month,OUG,950 sq.ft.,3 Bedrooms
4br2b Partial Furnished,RM 1 700 per month,Sentul,1001 sq.ft.,4 Bedrooms
6 Capsquare Condo Dang Wangi KLCC KL City,RM 3 450 per month,Ampang,1637 sq.ft.,2 Bedrooms
"3R2B M Centura, Sentul LRT MRT Gombak HKL Premium Furnished",RM 2 480 per month,Sentul,850 sq.ft.,3 Bedrooms
EkoCheras Service Apartment Balcony Unit Walking distance MRT Cheras,RM 2 100 per month,Cheras,762 sq.ft.,1 Bedroom
Vista Amani Condo Bandar Sri Permaisuri Cheras 1101sqft 4Rooms P/Fur,RM 1 600 per month,Cheras,1101 sq.ft.,4 Bedrooms
Una Residence near MRT LRT Taman Maluri Sunway Velocity,RM 3 300 per month,Cheras,1012 sq.ft.,2 Bedrooms
Fully Furnish Danau Idaman Condo,RM 1 700 per month,Taman Desa,938 sq.ft.,3 Bedrooms
Impiana Sky Residensi Bukit Jalil,RM 1 600 per month,Bukit Jalil,850 sq.ft.,3 Bedrooms
Affordable Apartment Aman Tiga Desa Puri Kepong Petaling Jaya KL City,RM 900 per month,Kepong,835 sq.ft.,3 Bedrooms
OUG Parklane Old Klang Road Jalan Puchong 950sf 3Rooms SEMI FURNISHED,RM 1 300 per month,OUG,950 sq.ft.,3 Bedrooms
Pandan Perdana Shop Apartment 3Room 1Bath Good Condition High Floor,RM 1 100 per month,Ampang,720 sq.ft.,3 Bedrooms
Angkasa Condo Taman Connaught Cheras Near UCSI,RM 1 300 per month,Cheras,1000 sq.ft.,3 Bedrooms
Vista Langkawi @ PV18 Residence Setapak Kuala Lumpur Cheapest,RM 1 500 per month,Setapak,926 sq.ft.,3 Bedrooms
Bukit Pandan Condominium 2 @ Pandan Perdana Cheras KL,RM 1 450 per month,Cheras,1150 sq.ft.,3 Bedrooms
Brand New Renovated @ Bukit Bintang,RM 4 000 per month,Bukit Bintang,2200 sq.ft.,4 Bedrooms
"[new completed] studio, arte mont kiara, solaris, mont kiara",RM 1 599 per month,Mont Kiara,494 sq.ft.,1 Bedroom
"[3mins walk MRT] 2 BEDROOM FULLY , J. Dupion, Taman Pertama, Cheras",RM 1 999 per month,Cheras,803 sq.ft.,2 Bedrooms
Aster Green Sri Petaling for rent,RM 1 400 per month,Sri Petaling,657 sq.ft.,1 Bedroom
"Mutiara Bukit jalil 3-Storey Corner House Nearest OUG, Old klang Road",RM 2 600 per month,Bukit Jalil,2800 sq.ft.,5 Bedrooms
"Cabinets / 2 Heater , Seri Wahyu Residensi , Jalan Kuching",RM 1 200 per month,KL City,800 sq.ft.,3 Bedrooms
Dutamas 🔥Laman Duta 🔥 Fully Furnished,RM 6 500 per month,Solaris Dutamas,1300 sq.ft.,3 Bedrooms
"Ready Move In / Near Aeon / Aeon Big / Laman Damai , Kepong , Jinjang",RM 699 per month,Kepong,650 sq.ft.,3 Bedrooms
PPAM Bukit Jalil,RM 1 300 per month,Bukit Jalil,1200 sq.ft.,3 Bedrooms
Brand New Unit in JInjang (Near MRT),RM 1 700 per month,Kepong,1009 sq.ft.,3 Bedrooms
